Members Expense Disclosure - January to March 2019,,,,,,,,
,,,,,,,,,
Party,Member,Accommodation,,Travel,,,Grand Total,Inter-Parliamentary
,,Wellington,Non Wellington,Air,Surface,VIP Transport,,Office of the Clerk
,,,,,,,,,
New Zealand First,"Ball, Darroch","4,281",351,"4,139","2,939",                          -,"11,710",                          -
,"Jones, Shane",                          -,                          -,                          -,                          -,                          -,                          -,                          -
,"Marcroft, Jenny","3,103","1,997","5,011","4,313",                          -,"14,423",                          -
,"Mark, Ron",                          -,                          -,                          -,                          -,                          -,                          -,                          -
,"Martin, Tracey",                          -,                          -,                          -,                          -,                          -,                          -,                          -
,"Mitchell, Clayton","4,994",196,"8,087","2,360",                          -,"15,638",457
,"Peters, Winston",                          -,                          -,                          -,                          -,                          -,                          -,                          -
,"Patterson, Mark","7,134","1,691","7,528","1,684",                          -,"18,038","2,986"
,"Tabuteau, Fletcher",                          -,                          -,                          -,                          -,                          -,                          -,                          -
New Zealand First Total,,"19,511","4,235","24,766","11,296",                          -,"59,808","3,442"
,,,,,,,,,
Grand Total,,"508,211","63,199","536,606","339,264","10,295","1,457,574","64,035"
,,,,,,,,,
1) Wellington Accommodation for Golriz Gharahman includes hotel charges relating to the prior disclosure period. ,,,,,,,,
"2) The Speaker, Deputy Speaker, and Leader of the Opposition are eligible for VIP Transport services. This transport service is invoiced to Parliamentary Service at a rate of $171 per hour and disclosed at this rate. VIP Transport for Ministers is charged at $68 per hour and disclosed at that rate. Contractors used by Parliamentary Service and Ministerial Services for transporting eligible members/Ministers are disclosed at the rate charged by the contractor. The variable hourly rates reflect Parliamentary Service's lower usage level and a different charging regime. ",,,,,,,,
"3) The disclosure amount for VIP Transport if calculated using Ministerial Services' methodology would be $3,369",,,,,,,,
"4) The disclosure amount for VIP Transport if calculated using Ministerial Services' methodology would be $1,503",,,,,,,,
