Members' expense disclosure from 1 October 2011 to 31 December 2011,,,,,,,,,
"The expenses shown in the attached table were paid by the Parliamentary Service (air, surface travel, Wellington accommodation and non-Wellington accommodation) and the Office of the Clerk (inter-parliamentary travel) between 1 October 2011 and 31 December 2011.",,,,,,,,,
,,,,,,,,,
Party,Member,Accommodation,,Travel,,Sub-Total Parliamentary Service,Inter-Parliamentary Office of the Clerk,,
,,Wellington,Non Wellington,Air,Surface,,,,
,  Collins Judith  , -   , -   ," 2,852 ", -   ," 2,852 ", -   ,,
,  Dean Jacqui  ," 3,478 ", 497 ," 4,107 "," 2,874 "," 10,956 ", -   ,,
,  English Bill  , -   , -   ," 6,976 ",-263 ," 6,713 ", -   ,,
,  Finlayson Chris  , -   , -   , -   , -   , -   , -   ,,
,  Foss Craig  , -   , -   ," 1,885 ", -   ," 1,885 ", -   ,,
,  Gilmore Aaron  ," 2,723 ", -   ," 6,125 "," 2,888 "," 11,736 ", -   ,,
, Goldsmith Paul , -   , -   ," 2,211 ", 564 ," 2,775 ", -   ,,
,  Goodhew Jo  ," 3,608 ", 505 ," 6,939 "," 6,326 "," 17,378 ", -   ,,
,  Goudie Sandra  ," 4,522 ", 270 , 650 ," 1,928 "," 7,369 ", -   ,,
,  Groser Tim  , -   , -   , 604 , -   , 604 , -   ,,
,  Guy Nathan  , -   , -   ," 1,840 ", 237 ," 2,077 ", -   ,,
,  Hayes John  ," 3,211 ", 384 ," 2,655 "," 6,346 "," 12,597 ", -   ,,
,  Heatley Philip  , -   , -   ," 7,204 ", -   ," 7,204 ", -   ,,
,  Henare Tau  ," 4,000 ", -   ," 5,713 "," 3,884 "," 13,597 ", -   ,,
,  Hutchison Paul  ," 4,000 ", -   ," 3,701 "," 8,013 "," 15,714 ", -   ,,
,  Joyce Steven  , -   , -   ," 2,322 ", -   ," 2,322 ", -   ,,
,  Kaye Nikki  ," 5,453 ", -   ," 2,719 "," 6,397 "," 14,569 ", -   ,,
,  Key John  , -   , -   ," 1,710 ", -   ," 1,710 ", -   ,,
,  King Colin  ," 3,596 ", 772 ," 12,058 "," 3,611 "," 20,037 ", -   ,,
,  Lee Melissa  ," 5,520 ", 417 ," 6,310 "," 6,332 "," 18,579 ", -   ,,
,  Lotu-liga Peseta Sam  ," 6,000 ", -   ," 5,017 "," 5,122 "," 16,140 ", -   ,,
,  Macindoe Tim  , -   , -   ," 3,988 "," 1,702 "," 5,690 ", -   ,,
,  Mapp Wayne  , -   , -   ," 2,478 ", -   ," 2,478 ", -   ,,
,  McClay Todd  ," 3,314 ", 450 ," 3,688 "," 5,899 "," 13,352 ", -   ,,
,  McCully Murray  , -   , -   , -   , -   , -   , -   ,,
, McKelvie Ian , -   , -   , -   , -   , -   , -   ,,
, Mitchell Mark , 417 , -   ," 1,143 ", 603 ," 2,163 ", -   ,,
, Ngaro Alfred , 417 , -   ," 1,585 ", 416 ," 2,418 ", -   ,,
, O'Connor Simon , 557 , -   ," 1,577 ", 962 ," 3,096 ", -   ,,
,  Parata Hekia  , -   , -   ," 1,184 ", 75 ," 1,259 ", -   ,,
,  Peachey Allan  ," 1,161 ", -   ," 2,444 "," 1,411 "," 5,016 ", -   ,,
,  Power Simon  , -   , -   , 623 , -   , 623 , -   ,,
,  Quinn Paul  , -   , -   ,-178 ," 6,516 "," 6,337 ", -   ,,
,  Ross Jami-Lee  ," 3,600 ", -   ," 3,278 "," 1,119 "," 7,998 ", -   ,,
,  Roy Eric  ," 2,508 ", 120 ," 5,814 "," 3,096 "," 11,537 ", -   ,,
,  Ryall Tony  , -   , -   ," 5,867 ", -   ," 5,867 ", -   ,,
, Sabin Mike , 696 , -   ," 5,578 ", 534 ," 6,808 ", -   ,,
,  Shanks Katrina  , -   , 312 ," 2,188 "," 1,479 "," 3,978 ", -   ,,
, Simpson Scott , -   , -   ," 1,325 ", 279 ," 1,605 ", -   ,,
,  Smith Lockwood  ," 3,427 ", 390 ," 7,979 ", -   ," 11,796 ", -   ,,
,  Smith Nick  , -   , -   ," 4,875 ", 99 ," 4,974 ", -   ,,
,  Te Heuheu Georgina  , -   , -   , 698 , 28 , 726 , -   ,,
,  Tisch Lindsay  ," 3,427 ", 306 ," 1,920 "," 4,668 "," 10,321 ", -   ,,
,  Tolley Anne  , -   , -   ," 2,617 ", -   ," 2,617 ", -   ,,
,  Tremain Chris  ," 1,252 ", -   ," 5,726 ", 789 ," 7,767 ", -   ,,
,  Upston Louise  ," 5,978 ", 950 ," 5,284 "," 6,732 "," 18,944 ", -   ,,
,  Wagner Nicky  ," 3,478 ", -   ," 3,808 "," 7,134 "," 14,421 ", -   ,,
,  Wilkinson Kate  , -   , -   , -   , -   , -   , -   ,,
,  Williamson Maurice  , -   , -   ," 2,344 ", -   ," 2,344 ", -   ,,
,  Woodhouse Michael  ," 5,511 ", 137 ," 10,536 "," 1,855 "," 18,040 ", -   ,,
, Yang Jian , -   , -   ," 2,428 ", 627 ," 3,054 ", -   ,,
,  Young Jonathan  ," 3,314 ", -   ," 5,325 "," 3,060 "," 11,700 ", -   ,,
National Total,," 111,620 "," 9,159 "," 241,494 "," 141,362 "," 503,636 ", -   ,,
New Zealand First, Horan Brendan , 278 , -   ," 2,536 ", 974 ," 3,788 ", -   ,,
, Martin Tracey , -   , -   ," 1,725 ", 357 ," 2,082 ", -   ,,
, O'Rourke Denis , -   , -   ," 1,586 ", 430 ," 2,016 ", -   ,,
, Peters Winston , 139 , -   ," 1,049 ", 53 ," 1,241 ", -   ,,
, Prosser Richard , -   , -   ," 1,656 ", 166 ," 1,822 ", -   ,,
, Stewart Barbara , -   , -   ," 1,343 ", 548 ," 1,891 ", -   ,,
, Lole-Taylor Asenati , -   , -   ," 3,085 ", 648 ," 3,733 ", -   ,,
, Williams Andrew , 117 , -   ," 1,899 ", 145 ," 2,162 ", -   ,,
New Zealand First Total,, 535 , -   ," 14,878 "," 3,322 "," 18,735 ", -   ,,
Progressive, Anderton Jim ," 2,514 ", 525 ," 7,974 "," 3,898 "," 14,911 ", -   ,,
Progressive Total,," 2,514 ", 525 ," 7,974 "," 3,898 "," 14,911 ", -   ,,
United Future, Dunne Peter , -   , -   ," 2,722 ", -   ," 2,722 ", -   ,,
United Future Total,, -   , -   ," 2,722 ", -   ," 2,722 ", -   ,,
,Total All Parties," 537,788 "," 83,310 "," 818,904 "," 890,923 "," 3,153,680 ", -   ,,
