Members Expense Disclosure -  April - June 2013,,,,,,,,
,,,,,,,,
Party,Member,Accommodation,,Travel,,Grand Total,Inter-Parliamentary Office of the Clerk,
,,Wellington,Non Wellington,Air,Surface,,,
, McKelvie Ian ," 4,803 ", 939 ," 2,618 "," 8,268 "," 16,629 ", -   ,
, Mitchell Mark ," 2,609 ", - ," 5,335 "," 6,205 "," 14,149 ", -   ,
, Ngaro Alfred ," 5,287 ", 670 ," 10,647 "," 9,660 "," 26,264 ", -   ,
, O'Connor Simon ," 4,767 ", 122 ," 5,342 "," 4,618 "," 14,850 ", -   ,
, Parata Hekia , - , - ," 1,282 ", - ," 1,282 ", -   ,
, Ross Jami-Lee ," 2,783 ", 261 ," 5,858 "," 7,750 "," 16,651 ", -   ,
, Roy Eric ," 3,736 ", 522 ," 7,445 ", 697 ," 12,400 ", -   ,
, Ryall Tony , - , - ," 3,251 ", - ," 3,251 ", -   ,
, Sabin Mike ," 4,803 ", 849 ," 13,289 "," 12,195 "," 31,136 ", -   ,
, Shanks Katrina , - , 828 ," 3,337 "," 2,932 "," 7,097 ", -   ,
, Simpson Scott ," 2,609 ", 119 ," 4,339 "," 9,805 "," 16,871 ", -   ,
, Smith Lockwood , - , - , - ," 2,080 "," 2,080 ", -   ,
, Smith Nick , - , - ," 2,476 ", 741 ," 3,216 ", -   ,
, Tisch Lindsay ," 5,217 ", 663 ," 3,737 "," 10,246 "," 19,863 ", -   ,
, Tolley Anne , - , - ," 1,102 ", - ," 1,102 ", -   ,
, Tremain Chris , - , - , 538 , - , 538 , -   ,
, Upston Louise ," 4,228 "," 2,429 "," 6,066 "," 9,341 "," 22,065 ","11,793",
, Wagner Nicky ," 6,957 ", 916 ," 8,467 "," 9,668 "," 26,008 ", -   ,
, Wilkinson Kate ," 1,948 ", 381 ," 3,976 "," 9,773 "," 16,078 ", -   ,
, Williamson Maurice , - , - , 572 , - , 572 , -   ,
, Woodhouse Michael , - , - , 876 , 834 ," 1,709 ", -   ,
, Yang Jian ," 2,087 ", 125 ," 4,396 "," 5,280 "," 11,888 ", -   ,
, Young Jonathan ," 4,347 ", 727 ," 5,797 "," 6,146 "," 17,017 ", -   ,
National Total,," 153,385 "," 22,569 "," 249,759 "," 282,468 "," 708,181 ","11,793",
New Zealand First,Martin Tracey," 4,313 ", 278 ," 5,070 "," 1,921 "," 11,583 ", -   ,
,O'Rourke Denis," 4,803 ", - ," 3,995 "," 2,516 "," 11,314 ", -   ,
,Peters Winston," 2,783 ", 109 ," 10,574 "," 6,246 "," 19,711 ", -   ,
,Prosser Richard," 6,142 ", 778 ," 9,545 "," 6,622 "," 23,088 ", -   ,
,Stewart Barbara," 4,452 ", - ," 2,920 "," 5,096 "," 12,468 ", -   ,
,Lole-Taylor Asenati," 4,466 ", - ," 6,398 "," 7,052 "," 17,916 ", -   ,
,Williams Andrew," 2,643 ", 296 ," 4,323 "," 4,159 "," 11,421 ", -   ,
New Zealand First Total,," 29,602 "," 1,461 "," 42,826 "," 33,612 "," 107,500 ", -   ,
United Future, Dunne Peter , - , - ," 1,703 ", 152 ," 1,855 ", -   ,
United Future Total,, - , - ," 1,703 ", 152 ," 1,855 ", -   ,
Grand Total,," 336,067 "," 75,672 "," 793,802 "," 650,898 "," 1,856,439 ","28,608",
