Members Expense Disclosure - January to March 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Member,Accommodation,,Travel,,Grand Total,Inter-Parliamentary Office of the Clerk,,,,,,,,,,,,,,,,,,,,,,,
,,Wellington,Non Wellington,Air,Surface,,,,,,,,,,,,,,,,,,,,,,,,,
Maori, Flavell Te Ururoa ," 6,004 "," 1,272 "," 13,455 "," 5,254 "," 25,985 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Sharples Pita , - , - ," 2,351 ", - ," 2,351 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Turia Tariana , - , - ," 1,332 ", - ," 1,332 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
Maori Total,," 6,004 "," 1,272 "," 17,139 "," 5,254 "," 29,669 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
National, Adams Amy , - , - ," 1,068 ", - ," 1,068 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Ardern Shane ," 5,217 ", - ," 2,817 ", 916 ," 8,951 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Auchinvole Chris ," 5,478 ", 139 ," 6,364 "," 3,550 "," 15,531 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Bakshi Kanwaljit Singh ," 5,113 ", 139 ," 4,003 "," 5,387 "," 14,643 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Barry Maggie ," 3,261 ", 139 ," 6,297 "," 2,826 "," 12,523 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Bennett David ," 2,087 ", - ," 2,525 "," 1,247 "," 5,859 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Bennett Paula , - , - , 121 , - , 121 , -   ,,,,,,,,,,,,,,,,,,,,,,,
, Borrows Chester , - , - , 628 ," 4,706 "," 5,333 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Bridges Simon , - , - , 402 , - , 402 , -   ,,,,,,,,,,,,,,,,,,,,,,,
, Brownlee Gerry , - , - ," 1,474 ", - ," 1,474 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Calder Cam ," 5,106 ", 477 ," 3,678 "," 4,893 "," 14,153 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
