Members' expense disclosure from 1 January 2012 to 31 March 2012,,,,,,,,,
"The expenses shown in the attached table were paid by the Parliamentary Service (air, surface travel, Wellington accommodation and non-Wellington accommodation) and the Office of the Clerk (inter-parliamentary travel) between  1 January 2012 to 31 March 2012.",,,,,,,,,
,,,,,,,,,
Party,Member,Accommodation,,Travel,,,Inter-Parliamentary Office of the Clerk,,
,,Wellington,Non Wellington,Air,Surface,Grand Total,,,
,  McClay Todd  ," 4,304 ", -   ," 4,956 "," 6,724 "," 15,984 ", -   ,,
,  McCully Murray  , -   , -   , -   , -   , -   , -   ,,
, McKelvie Ian ," 4,384 ", -   , 845 ," 3,784 "," 9,013 ", -   ,,
, Mitchell Mark ," 2,087 ", -   ," 8,921 "," 2,705 "," 13,713 ", -   ,,
, Ngaro Alfred ," 2,915 ", 386 ," 11,399 "," 4,679 "," 19,379 ", -   ,,
, O'Connor Simon ," 7,615 ", -   ," 4,116 "," 5,210 "," 16,941 ", -   ,,
,  Parata Hekia  , -   , -   , -   , -   , -   , -   ,,
,  Ross Jami-Lee  ," 1,809 ", -   ," 3,491 ", 573 ," 5,873 ", -   ,,
,  Roy Eric  ," 4,086 ", -   ," 6,038 "," 2,923 "," 13,047 ", -   ,,
,  Ryall Tony  , -   , -   ," 1,230 ", -   ," 1,230 ", -   ,,
, Sabin Mike ," 3,200 ", 716 ," 12,423 "," 6,552 "," 22,890 ", -   ,,
,  Shanks Katrina  , -   , 270 ," 3,561 "," 1,996 "," 5,826 ", -   ,,
, Simpson Scott ," 2,922 ", 806 ," 4,852 "," 7,979 "," 16,559 ", -   ,,
,  Smith Lockwood  ," 9,677 ", -   ," 7,127 ", 42 ," 16,846 "," 29,197 ",,
,  Smith Nick  , -   , -   ," 7,093 ", -   ," 7,093 ", -   ,,
,  Tisch Lindsay  ," 1,054 ", 157 ," 4,369 "," 2,724 "," 8,303 "," 10,113 ",,
,  Tolley Anne  , -   , -   ," 2,876 ", 29 ," 2,905 ", -   ,,
,  Tremain Chris  , -   , -   , 838 , 169 ," 1,008 ", -   ,,
,  Upston Louise  ," 7,462 ", 508 ," 5,976 "," 6,356 "," 20,302 ", -   ,,
,  Wagner Nicky  ," 1,739 ", 78 ," 7,765 "," 2,161 "," 11,743 ", -   ,,
,  Wilkinson Kate  , -   , -   , -   , -   , -   , -   ,,
,  Williamson Maurice  , -   , -   , -   , -   , -   , -   ,,
,  Woodhouse Michael  ," 6,383 ", -   ," 8,773 "," 2,304 "," 17,460 ", -   ,,
, Yang Jian ," 2,643 ", -   ," 13,495 "," 1,774 "," 17,912 ", -   ,,
,  Young Jonathan  ," 2,598 ", -   ," 6,017 "," 1,314 "," 9,929 ", -   ,,
National Total,," 146,989 "," 9,295 "," 258,277 "," 157,108 "," 571,669 "," 39,310 ",,
New Zealand First,Horan Brendan," 2,508 ", 972 ," 6,475 "," 3,780 "," 13,735 ", -   ,,
,Martin Tracey," 1,948 ", -   ," 4,637 "," 1,657 "," 8,241 ", -   ,,
,O'Rourke Denis," 5,170 ", -   ," 2,910 "," 2,526 "," 10,606 ", -   ,,
,Peters Winston," 1,948 ", -   ," 5,447 "," 2,210 "," 9,605 ", -   ,,
,Prosser Richard," 8,104 ", -   ," 4,273 "," 1,466 "," 13,843 "," 15,292 ",,
,Stewart Barbara," 2,783 ", -   ," 4,357 "," 1,761 "," 8,901 ", -   ,,
,Lole-Taylor Asenati," 10,040 ", 250 ," 6,821 "," 2,593 "," 19,703 ", -   ,,
,Williams Andrew," 1,787 ", 134 ," 4,537 ", 836 ," 7,294 ", -   ,,
New Zealand First Total,," 34,286 "," 1,357 "," 39,456 "," 16,829 "," 91,928 "," 15,292 ",,
United Future, Dunne Peter , -   , -   , 988 , -   , 988 , -   ,,
United Future Total,, -   , -   , 988 , -   , 988 , -   ,,
Grand Total,," 357,228 "," 44,435 "," 677,644 "," 369,888 "," 1,449,195 "," 69,496 ",,
