Members Expense Disclosure -  January - March 2013,,,,,,,,,,
,,,,,,,,,,
Party,Member,Accommodation,,Travel,,Grand Total,Inter-Parliamentary Office of the Clerk,,,
,,Wellington,Non Wellington,Air,Surface,,,,,
,  Lotu-liga Peseta Sam  ," 5,217 ", 112 ," 6,239 "," 3,700 "," 15,269 ", -   ,,,
,  Macindoe Tim  ," 2,365 ", - ," 3,648 "," 2,557 "," 8,570 ", -   ,,,
,  McClay Todd  ," 4,347 ", 313 ," 8,557 "," 12,308 "," 25,525 ", -   ,,,
," McCully, Murray ", - , - , - , - , - , -   ,,,
,"  Mckelvie, Ian "," 5,603 ", - ," 1,878 "," 5,736 "," 13,218 ", -   ,,,
, Mitchell Mark ," 3,043 ", 134 ," 5,567 "," 3,133 "," 11,877 ", -   ,,,
, Ngaro Alfred ," 3,478 ", - ," 6,882 "," 5,904 "," 16,265 ", -   ,,,
, O'Connor Simon ," 5,382 ", - ," 4,294 "," 4,801 "," 14,478 ", -   ,,,
,  Parata Hekia  , - , - , 856 , - , 856 , -   ,,,
,  Ross Jami-Lee  ," 2,087 ", 249 ," 2,989 "," 3,124 "," 8,449 ", -   ,,,
,  Roy Eric  ," 4,341 ", 139 ," 4,302 ", 562 ," 9,344 ", -   ,,,
,  Ryall Tony  , - , - ," 3,922 ", - ," 3,922 ", -   ,,,
, Sabin Mike ," 5,603 ", 643 ," 9,239 "," 7,295 "," 22,781 ", -   ,,,
,  Shanks Katrina  , - , 517 ," 2,605 "," 1,890 "," 5,012 ", -   ,,,
, Simpson Scott ," 2,990 ", 727 ," 3,671 "," 6,495 "," 13,884 ", -   ,,,
,  Smith Lockwood  ," 3,125 ", 256 ," 5,980 "," 2,290 "," 11,650 ", -   ,,,
,  Smith Nick  , 870 , - ," 3,461 "," 1,081 "," 5,412 ", -   ,,,
,  Tisch Lindsay  ," 6,957 ", 157 ," 4,804 "," 3,620 "," 15,536 "," 9,835 ",,,
,  Tolley Anne  , - , - ," 2,415 ", - ," 2,415 ", -   ,,,
,  Tremain Chris  , - , - , 358 , 3 , 361 , -   ,,,
,  Upston Louise  ," 5,602 "," 1,814 "," 6,518 "," 8,317 "," 22,251 ", -   ,,,
,  Wagner Nicky  ," 8,696 ", 247 ," 6,629 "," 2,443 "," 18,015 ", -   ,,,
,  Wilkinson Kate  ," 1,243 ", 235 ," 6,912 "," 3,019 "," 11,409 ", -   ,,,
,  Williamson Maurice  , - , - , 908 , - , 908 , -   ,,,
,  Woodhouse Michael  ," 1,890 ", - ," 3,513 "," 1,711 "," 7,114 ", -   ,,,
, Yang Jian ," 1,670 ", - ," 6,691 "," 4,946 "," 13,306 ", -   ,,,
,  Young Jonathan  ," 4,347 ", 255 ," 6,157 "," 5,010 "," 15,770 ", -   ,,,
National Total,," 148,711 "," 9,098 "," 242,183 "," 170,057 "," 570,049 "," 20,704 ",,,
New Zealand First,Martin Tracey," 2,365 ", 473 ," 5,265 "," 1,956 "," 10,059 ", -   ,,,
,O'Rourke Denis," 5,603 ", - ," 3,580 "," 2,137 "," 11,320 ", -   ,,,
,Peters Winston," 2,087 ", - ," 8,045 "," 5,362 "," 15,494 ", -   ,,,
,Prosser Richard," 3,871 ", - ," 13,812 "," 4,856 "," 22,538 ", -   ,,,
,Stewart Barbara," 2,226 ", - ," 3,276 "," 1,293 "," 6,795 ", -   ,,,
,Lole-Taylor Asenati," 4,565 ", 710 ," 4,051 ", - ," 9,327 "," 1,625 ",,,
,Williams Andrew," 2,226 ", - ," 4,011 "," 1,463 "," 7,700 ", -   ,,,
New Zealand First Total,," 22,944 "," 1,183 "," 42,040 "," 17,066 "," 83,233 "," 1,625 ",,,
United Future, Dunne Peter , - , - ," 1,382 ", - ," 1,382 ", -   ,,,
United Future Total,, - , - ," 1,382 ", - ," 1,382 ", -   ,,,
Grand Total,," 331,427 "," 41,268 "," 632,745 "," 378,794 "," 1,384,234 "," 60,379 ",,,
