Members Expense Disclosure - 1 April to 30 June 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Member,Accommodation,,Travel,,Grand Total,Inter-Parliamentary Office of the Clerk,,,,,,,,,,,,,,,,,,,,,,,
,,Wellington,Non Wellington,Air,Surface,,,,,,,,,,,,,,,,,,,,,,,,,
Mana, Harawira Hone ," 4,253 "," 7,567 "," 26,695 "," 14,329 "," 52,845 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
Mana Total,," 4,253 "," 7,567 "," 26,695 "," 14,329 "," 52,845 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
Maori, Flavell Te Ururoa ," 2,063 "," 1,406 "," 21,676 "," 12,082 "," 37,226 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Sharples Pita , - , - ," 1,450 ", - ," 1,450 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Turia Tariana , - , - ," 1,459 ", 33 ," 1,492 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
Maori Total,," 2,063 "," 1,406 "," 24,585 "," 12,115 "," 40,169 ",,,,,,,,,,,,,,,,,,,,,,,,
National, Adams Amy , - , - ," 1,984 ", - ," 1,984 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Ardern Shane ," 5,217 ", 943 ," 4,287 "," 18,017 "," 28,464 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Auchinvole Chris ," 4,696 ", 920 ," 12,556 "," 7,746 "," 25,918 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Bakshi Kanwaljit Singh ," 4,383 ", - ," 6,525 "," 10,052 "," 20,959 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Barry Maggie ," 2,609 ", 396 ," 10,092 "," 3,599 "," 16,695 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Bennett David ," 3,200 ", - ," 4,543 "," 9,102 "," 16,845 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Bennett Paula , - , - ," 1,182 ", - ," 1,182 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
