Members Expense Disclosure - January to March 2017,,,,,,,,
,,,,,,,,
Party,Member,Accommodation,,Travel,,Subtotal Parliamentary Service,Inter parliamentary - Office of the Clerk,
,,Wellington,Non Wellington,Air,Surface,,,
,,,,,,,,
," Pugh, Maureen "," 6,444 "," 1,379 "," 4,931 "," 5,332 "," 18,086 "," 1,534 ",
," Reti, Shane "," 6,444 "," 1,178 "," 3,852 "," 6,174 "," 17,648 "," 12,239 ",
," Ross, Jami-Lee "," 4,511 ", 306 ," 3,359 "," 6,319 "," 14,494 ", - ,
," Scott, Alastair ", - , 152 ," 1,468 "," 2,459 "," 4,079 ", - ,
," Smith, Stuart "," 6,444 "," 1,134 "," 13,216 "," 7,018 "," 27,811 ", - ,
," Smith, Nick ", - , - , 715 , - , 715 , - ,
," Simpson, Scott "," 4,511 ", 309 ," 5,040 "," 8,940 "," 18,801 ", - ,
," Tisch, Lindsay ", - , 430 ," 3,836 "," 4,341 "," 8,607 ", - ,
," Tolley, Anne ", - , - ," 1,313 ", - ," 1,313 ", - ,
," Upston, Louise ", - , - ," 1,470 ", - ," 1,470 ", - ,
," Wagner, Nicky ", - , - , - , - , - , - ,
," Williamson, Maurice "," 6,444 ", - ," 3,129 "," 6,990 "," 16,563 ", - ,
," Woodhouse, Michael ", - , - ," 2,661 ", - ," 2,661 ", - ,
," Yang, Jian ", 991 , 163 ," 4,830 "," 5,488 "," 11,473 ", - ,
," Young, Jonathan "," 6,444 ", 222 ," 8,165 "," 1,407 "," 16,238 ", - ,
National Total,," 164,518 "," 14,770 "," 182,313 "," 155,088 "," 516,689 "," 71,981 ",
,,,,,,,,
New Zealand First,"Ball, Darroch"," 4,626 "," 2,594 "," 4,947 "," 5,424 "," 17,590 ", - ,
,"Bindra, Mahesh"," 6,444 ", 231 ," 4,971 "," 7,842 "," 19,487 ", - ,
,"Bond, Ria"," 2,912 "," 1,376 "," 6,519 "," 2,168 "," 12,975 ", - ,
,"Mark, Ron"," 6,113 ", 601 ," 1,575 "," 2,457 "," 10,747 ", - ,
,"Martin, Tracey"," 4,025 ", 195 ," 4,855 "," 6,463 "," 15,538 "," 11,763 ",
,"Mitchell, Clayton"," 4,511 "," 1,149 "," 8,750 "," 4,724 "," 19,133 ", - ,
,"O'Rourke, Denis"," 6,444 ", - ," 3,894 "," 1,822 "," 12,160 ", - ,
,"Paraone, Pita"," 6,444 ", 896 ," 6,690 "," 3,746 "," 17,776 ", - ,
,"Peters, Winston"," 6,444 ", 587 ," 6,186 "," 8,264 "," 21,481 ", - ,
,"Prosser, Richard"," 6,444 ", 330 ," 6,506 "," 3,828 "," 17,109 ", - ,
,"Stewart, Barbara"," 6,444 ", - ," 2,193 "," 2,269 "," 10,905 ", - ,
,"Tabuteau, Fletcher"," 4,731 "," 1,011 "," 7,551 "," 5,193 "," 18,486 ", - ,
New Zealand First Total,," 65,582 "," 8,970 "," 64,636 "," 54,199 "," 193,387 "," 11,763 ",
,,,,,,,,
United Future," Dunne, Peter ", - , - , - , - , - , - ,
United Future Total,, - , - , - , - , - , - ,
,,,,,,,,
Grand Total,," 417,536 "," 78,775 "," 556,563 "," 423,739 "," 1,476,614 "," 117,796 ",
