Members Expense Disclosure - October to December 2016,,,,,,,,
,,,,,,,,
Party,Member,Accommodation,,Travel,,Grand Total,Inter parliamentary - Office of the Clerk,
,,Wellington,Non Wellington,Air,Surface,,,
,,,,,,, -   ,
,Martin Tracey," 5,707 ", 288 ," 5,026 "," 8,186 "," 19,208 ", - ,
,Mitchell Clayton," 5,262 ", 633 ," 9,748 "," 4,265 "," 19,908 ", - ,
,O'Rourke Denis," 7,518 ", 296 ," 1,256 "," 3,069 "," 12,138 ", - ,
,Paraone Pita," 7,518 ", 303 ," 8,171 "," 3,649 "," 19,641 ","7,743 ",
,Peters Winston," 7,518 ", 470 ," 19,714 "," 5,566 "," 33,268 ", - ,
,Prosser Richard," 7,518 ", - ," 4,983 "," 6,436 "," 18,937 ", - ,
,Stewart Barbara," 7,518 ", - ," 5,184 "," 4,952 "," 17,654 ", - ,
,Tabuteau Fletcher," 5,262 ", 570 ," 9,101 "," 2,269 "," 17,202 ","1,340 ",
New Zealand First Total,," 79,483 "," 4,911 "," 86,376 "," 64,713 "," 235,483 ","9,083 ",
,,,,,,, - ,
United Future, Dunne Peter , - , - , - , - , - , - ,
United Future Total,, - , - , - , - , - , - ,
,,,,,,,,
Grand Total,," 491,712 "," 69,093 "," 712,003 "," 486,559 "," 1,759,366 ","163,470 ",
